  0 unchecked |   0 checked | ## 1. Roadmap Objective
  0 unchecked |   7 checked | ## Current execution — Hugging Face provider integration
  0 unchecked |   8 checked | ## Current execution — Hugging Face Hub model browser
  0 unchecked |   8 checked | ## Current execution — resumable Hub downloads and runtime compatibility
  2 unchecked |   5 checked | ## Current execution — pausable downloads and local generation models
  8 unchecked |   0 checked | ## Current Task — Hub Transfer Retry and Backoff Telemetry
  0 unchecked |   6 checked | ## Retry telemetry completion record
  7 unchecked |   0 checked | ## Current Task — Referenced GUI Implementation
  0 unchecked |   0 checked | ## Referenced GUI redesign completion record
  9 unchecked |   0 checked | ## Current Task — Attachments, Context Links, Activity, and Manus Connectors
  0 unchecked |   0 checked | ## Expanded GUI completion record
  8 unchecked |   0 checked | ## Current Task — Use the Manus Connector Catalog
  0 unchecked |   0 checked | ## Manus connector execution completion record
  3 unchecked |   0 checked | ## Current Task — Connector Operation Discovery Demo Video
  4 unchecked |   0 checked | ## Current Task — Animated Connector Discovery Prototype
  3 unchecked |   0 checked | ## Current Task — Connector Discovery Storyboard Images
  0 unchecked |   0 checked | ## Connector discovery storyboard completion record
 11 unchecked |   0 checked | ## Current Task — Windows Release Hardening
  0 unchecked |   9 checked | ## Current Workstream — Local Connector Bridge and Sign-In Menu
  8 unchecked |   0 checked | ## 18.1 Roadmap rules and non-goals
 19 unchecked |   0 checked | ## 18.2 Phase A — Durable task-thread protocol [P0]
 10 unchecked |   0 checked | ## 18.3 Phase B — Agent registry and subtask runtime [P0]
 12 unchecked |   0 checked | ## 18.4 Phase C — Skills system [P0]
 27 unchecked |   0 checked | ## 18.5 Phase D — Connector adapter platform [P0]
  9 unchecked |   1 checked | ## 18.6 Phase E — Durable scheduler [P0]
 10 unchecked |   0 checked | ## 18.7 Phase F — Webhooks and event delivery [P0]
  9 unchecked |   0 checked | ## 18.8 Phase G — Structured output [P0]
 10 unchecked |   0 checked | ## 18.9 Phase H — Files and project knowledge bases [P1]
 11 unchecked |   0 checked | ## 18.10 Phase I — Local Browser Operator extension [P1; Cloud Browser excluded]
  9 unchecked |   0 checked | ## 18.11 Phase J — Wide Research [P1]
  8 unchecked |   0 checked | ## 18.12 Phase K — Website build, publish, and artifact lifecycle [P1]
 15 unchecked |   0 checked | ## 18.13 Phase L — Slides and multimedia [P1]
  8 unchecked |   0 checked | ## 18.14 Phase M — Usage, budgets, and provider health [P1]
  8 unchecked |   0 checked | ## 18.15 Phase N — Collaboration and remote local-host access [P2]
 11 unchecked |   0 checked | ## 18.16 Phase O — Security, recovery, and release operations [P0/P1]
  9 unchecked |   1 checked | ## 18.17 Verification matrix
  7 unchecked |   0 checked | ## 18.18 Recommended execution order
 11 unchecked |   0 checked | ## 18.19 Definition of parity for this roadmap
 17 unchecked |   0 checked | ## 18.20 Research references
 17 unchecked |   4 checked | ## 18.21 Research limitation
  2 unchecked |   6 checked | ## 19.1 Execution progress — 2026-08-26
 13 unchecked |   4 checked | ## 19.2 Execution progress — continuation
 10 unchecked |   6 checked | ## 20.1 Full-catalog adapter milestone — 2026-08-26
  2 unchecked |   5 checked | ## 21.1 Four-layer architecture progress
  8 unchecked |   8 checked | ## 21.2 Verified four-layer connector milestone
  0 unchecked |   5 checked | ## Roadmap Continuation — Scheduling and Webhooks Status
  0 unchecked |   9 checked | ## Repository Governance Controls
  5 unchecked |  14 checked | ## 8.5 Next milestone — Security hardening and automated canary deployments
  3 unchecked |   4 checked | ## Current security milestone — M12.8 continuation
  6 unchecked |   4 checked | ## 8.6 Next milestone — M14 Enterprise Production Readiness
